Job num,Machine num,Seed,Lambda,objective value,feasible_TF,total time
100,20,110,1.15,23,0,0.008
100,20,120,1.15,22,True,0.008
100,20,130,1.15,24,0,0.008
100,20,140,1.15,17,True,0.008
100,20,150,1.15,21,True,0.008
100,20,160,1.15,19,True,0.007
100,20,170,1.15,20,True,0.008
100,20,180,1.15,16,True,0.008
100,20,190,1.15,24,True,0.008
100,20,200,1.15,17,True,0.008
100,25,110,1.15,27,0,0.008
100,25,120,1.15,24,0,0.008
100,25,130,1.15,24,0,0.008
100,25,140,1.15,19,True,0.008
100,25,150,1.15,20,0,0.008
100,25,160,1.15,22,True,0.008
100,25,170,1.15,23,True,0.009
100,25,180,1.15,19,True,0.009
100,25,190,1.15,26,True,0.007
100,25,200,1.15,17,True,0.007
200,20,110,1.15,38,True,0.031
200,20,120,1.15,33,True,0.03
200,20,130,1.15,35,True,0.031
200,20,140,1.15,34,True,0.032
200,20,150,1.15,39,True,0.031
200,20,160,1.15,40,True,0.032
200,20,170,1.15,33,True,0.031
200,20,180,1.15,40,True,0.032
200,20,190,1.15,36,True,0.031
200,20,200,1.15,34,True,0.031
200,25,110,1.15,45,0,0.031
200,25,120,1.15,35,True,0.031
200,25,130,1.15,40,True,0.032
200,25,140,1.15,28,True,0.032
200,25,150,1.15,43,True,0.031
200,25,160,1.15,47,True,0.032
200,25,170,1.15,35,True,0.031
200,25,180,1.15,41,True,0.032
200,25,190,1.15,36,True,0.032
200,25,200,1.15,33,True,0.031
