first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
0,0.08,0,0,1,0.08,6.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,3.0,0.02,True,0.0,0.0,0.05
0,0.04,0,0,1,0.04,3.0,0.02,True,0.0,0.0,0.05
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,4.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,4.0,0.02,True,0.0,0.0,0.05
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.05
1,0.0,1,1,1,0.0,5.0,0.02,True,1.0,1.0,0.13
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.05
0,0.05,1,0,1,0.05,4.0,0.03,True,0.0,0.0,0.06
1,0.05,3,1,1,0.05,4.0,0.03,True,1.0,1.0,0.08
0,0.05,1,0,1,0.05,5.0,0.03,True,0.0,0.0,0.06
0,0.05,1,0,1,0.05,6.0,0.03,True,0.0,0.0,0.06
0,0.05,0,0,1,0.05,5.0,0.03,True,0.0,0.0,0.06
0,0.07,1,0,1,0.07,4.0,0.03,True,0.0,0.0,0.05
0,0.05,1,0,1,0.05,5.0,0.03,True,0.0,0.0,0.06
1,0.05,4,1,1,0.05,4.0,0.03,True,1.0,1.0,0.13
1,0.03,2,1,1,0.03,1.0,0.03,True,1.0,1.0,0.11
2,0.05,4,1,2,0.12,5.0,0.03,True,1.0,1.0,0.09
0,0.01,2,0,1,0.01,0.0,0.04,True,0.0,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.0,0.07
0,0.05,2,0,1,0.05,0.0,0.03,True,0.0,0.0,0.06
0,0.04,2,0,1,0.04,1.0,0.03,True,0.0,0.0,0.04
0,0.03,1,0,1,0.03,1.0,0.04,True,0.0,0.0,0.06
0,0.02,2,0,1,0.02,3.0,0.04,True,0.0,0.0,0.07
0,0.02,2,0,1,0.02,3.0,0.03,True,0.0,0.0,0.06
1,0.03,5,1,1,0.03,2.0,0.04,True,1.0,1.0,0.06
0,0.05,2,0,1,0.05,2.0,0.04,True,0.0,0.0,0.05
1,0.03,2,1,1,0.03,4.0,0.03,True,1.0,1.0,0.06
0,0.03,3,0,1,0.03,0.0,0.04,True,0.0,0.0,0.06
0,0.05,2,0,1,0.05,0.0,0.04,True,0.0,0.0,0.05
1,0.05,3,1,1,0.05,4.0,0.04,True,1.0,1.0,0.09
0,0.04,5,0,1,0.04,2.0,0.04,True,0.0,0.0,0.06
0,0.04,2,0,1,0.04,0.0,0.04,True,0.0,0.0,0.07
0,0.04,2,0,1,0.04,1.0,0.04,True,0.0,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.0,0.05
0,0.02,2,0,1,0.02,2.0,0.04,True,0.0,0.0,0.06
0,0.03,2,0,1,0.03,3.0,0.04,True,0.0,0.0,0.07
0,0.05,6,0,1,0.05,0.0,0.03,True,0.0,0.0,0.05
1,0.07,0,1,1,0.07,12.0,0.09,True,1.0,1.0,0.83
1,0.08,0,1,1,0.08,14.0,0.1,True,1.0,1.0,0.51
1,0.12,0,1,1,0.12,11.0,0.09,True,1.0,1.0,0.27
1,0.06,0,1,1,0.06,10.0,0.1,True,1.0,1.0,0.66
1,0.07,0,1,1,0.07,12.0,0.09,True,1.0,1.0,0.69
1,0.08,0,1,1,0.08,12.0,0.09,True,1.0,1.0,0.27
1,0.07,0,1,1,0.07,11.0,0.09,True,1.0,1.0,0.93
1,0.06,0,1,1,0.06,9.0,0.09,True,1.0,1.0,2.03
1,0.05,0,1,1,0.05,13.0,0.09,True,1.0,1.0,0.51
1,0.07,0,1,1,0.07,15.0,0.15,True,1.0,1.0,0.45
0,0.1,0,0,1,0.1,11.0,0.13,True,0.0,0.0,0.27
0,0.1,0,0,1,0.1,12.0,0.12,True,0.0,0.0,0.26
0,0.08,0,0,1,0.08,12.0,0.13,True,0.0,0.0,0.27
0,0.1,0,0,1,0.1,7.0,0.12,True,0.0,0.0,0.27
0,0.1,0,0,1,0.1,12.0,0.12,True,0.0,0.0,0.26
0,0.08,0,0,1,0.08,12.0,0.12,True,0.0,0.0,0.29
