first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
0,0.06,0,0,1,0.06,3.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,3.0,0.02,True,0.0,0.0,0.04
0,0.06,0,0,1,0.06,3.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,4.0,0.02,True,0.0,0.0,0.04
0,0.05,1,0,1,0.05,0.0,0.03,True,0.0,0.0,0.06
1,0.05,3,1,1,0.05,4.0,0.03,True,1.0,1.0,0.07
0,0.04,1,0,1,0.04,0.0,0.03,True,0.0,0.0,0.06
0,0.05,1,0,1,0.05,6.0,0.03,True,0.0,0.0,0.06
0,0.04,0,0,1,0.04,6.0,0.03,True,0.0,0.0,0.05
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.0,0.05
0,0.03,2,0,1,0.03,6.0,0.04,True,0.0,0.0,0.07
0,0.05,2,0,1,0.05,4.0,0.03,True,0.0,0.0,0.06
0,0.03,2,0,1,0.03,1.0,0.04,True,0.0,0.0,0.05
0,0.04,1,0,1,0.04,5.0,0.04,True,0.0,0.0,0.07
0,0.03,3,0,1,0.03,0.0,0.04,True,0.0,0.0,0.07
0,0.05,2,0,1,0.05,0.0,0.04,True,0.0,0.0,0.05
1,0.05,3,1,1,0.05,4.0,0.04,True,1.0,1.0,0.08
0,0.04,5,0,1,0.04,0.0,0.04,True,0.0,0.0,0.05
0,0.04,2,0,1,0.04,0.0,0.04,True,0.0,0.0,0.06
1,0.08,0,1,1,0.08,12.0,0.09,True,1.0,1.0,0.82
1,0.08,0,1,1,0.08,14.0,0.09,True,1.0,1.0,0.49
1,0.08,0,1,1,0.08,11.0,0.09,True,1.0,1.0,0.26
1,0.07,0,1,1,0.07,10.0,0.1,True,1.0,1.0,0.66
1,0.08,0,1,1,0.08,12.0,0.09,True,1.0,1.0,0.67
0,0.1,0,0,1,0.1,11.0,0.12,True,0.0,0.0,0.27
0,0.12,0,0,1,0.12,12.0,0.12,True,0.0,0.0,0.25
0,0.08,0,0,1,0.08,12.0,0.12,True,0.0,0.0,0.27
0,0.08,0,0,1,0.08,7.0,0.13,True,0.0,0.0,0.26
0,0.1,0,0,1,0.1,12.0,0.12,True,0.0,0.0,0.25
0,0.09,1,0,1,0.09,10.0,0.16,True,0.0,0.0,0.35
0,0.1,1,0,1,0.1,9.0,0.15,True,0.0,0.0,0.32
0,0.1,1,0,1,0.1,13.0,0.15,True,0.0,0.0,0.39
0,0.08,1,0,1,0.08,10.0,0.15,True,0.0,0.0,0.32
0,0.08,0,0,1,0.08,11.0,0.15,True,0.0,0.0,0.32
0,0.13,2,0,1,0.13,10.0,0.18,True,0.0,0.0,0.37
0,0.1,2,0,1,0.1,7.0,0.18,True,0.0,0.0,0.39
1,0.12,3,1,1,0.12,9.0,0.18,True,1.0,1.0,2.84
0,0.1,2,0,1,0.1,12.0,0.18,True,0.0,0.0,0.38
1,0.09,3,1,1,0.09,10.0,0.18,True,1.0,1.0,0.77
2,0.16,0,2,1,0.16,23.0,0.21,True,2.0,2.0,2.78
2,0.15,0,2,1,0.15,19.0,0.22,True,2.0,2.0,4.17
2,0.16,0,2,1,0.16,6.0,0.4,True,2.0,2.0,2.41
2,0.16,0,2,1,0.16,20.0,0.22,True,2.0,2.0,4.19
2,0.18,0,2,1,0.18,15.0,0.21,True,2.0,2.0,3.87
1,0.17,0,1,1,0.17,19.0,0.3,True,1.0,1.0,1.94
1,0.18,0,1,1,0.18,17.0,0.32,True,1.0,1.0,3.4
