first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
6,8.86,0,6,1,8.86,25.0,1.23,True,6.0,6.0,19.26
6,9.08,0,6,1,9.08,24.0,2.27,True,6.0,6.0,77.09
6,7.89,0,6,1,7.89,54.0,3.03,True,6.0,6.0,35.64
6,8.01,0,6,1,8.01,26.0,1.25,True,6.0,6.0,38.77
6,7.18,0,6,1,7.18,25.0,1.27,True,6.0,6.0,61.57
5,5.65,0,5,1,5.65,27.0,1.69,True,5.0,5.0,11.89
5,5.56,0,5,1,5.56,47.0,1.53,True,5.0,5.0,63.26
5,6.52,0,5,1,6.52,28.0,1.72,True,5.0,5.0,34.05
5,5.75,0,5,1,5.75,26.0,2.13,True,5.0,5.0,27.1
5,6.17,0,5,1,6.17,45.0,1.56,True,5.0,5.0,13.15
4,3.41,0,4,1,3.41,48.0,1.9,True,4.0,4.0,55.72
4,3.16,0,4,1,3.16,50.0,1.86,True,4.0,4.0,197.41
4,3.42,0,4,1,3.42,50.0,1.88,True,4.0,4.0,103.1
4,3.75,0,4,1,3.75,53.0,4.67,True,4.0,4.0,480.44
4,3.53,0,4,1,3.53,53.0,2.04,True,4.0,4.0,332.9
3,2.98,0,3,1,2.98,49.0,2.19,True,3.0,3.0,874.54
3,2.65,0,3,1,2.65,45.0,2.17,True,3.0,3.0,353.25
3,2.78,0,3,1,2.78,45.0,2.17,True,3.0,3.0,227.19
3,3.83,0,3,1,3.83,43.0,2.15,True,3.0,3.0,224.52
3,3.8,0,3,1,3.8,49.0,2.17,True,3.0,3.0,331.73
7,17.69,0,7,1,17.69,12.0,2.11,True,7.0,7.0,305.91
7,18.89,0,7,1,18.89,48.0,2.15,True,7.0,7.0,128.11
7,18.55,0,7,1,18.55,32.0,3.22,True,7.0,7.0,38.41
7,25.44,1,7,1,25.44,26.0,1.83,True,7.0,7.0,974.7
7,18.58,0,7,1,18.58,62.0,1.87,True,7.0,7.0,126.03
6,13.91,0,6,1,13.91,36.0,4.03,True,6.0,6.0,71.2
6,15.6,0,6,1,15.6,63.0,7.0,True,6.0,6.0,105.71
6,14.4,0,6,1,14.4,35.0,2.87,True,6.0,6.0,409.76
6,14.05,0,6,1,14.05,33.0,3.0,True,6.0,6.0,1426.19
6,15.23,0,6,1,15.23,61.0,2.54,True,6.0,6.0,84.5
5,10.77,0,5,1,10.77,62.0,2.78,True,5.0,5.0,156.61
5,11.33,0,5,1,11.33,57.0,2.74,True,5.0,5.0,194.02
5,9.2,0,5,1,9.2,59.0,2.73,True,5.0,5.0,482.32
5,8.98,0,5,1,8.98,33.0,5.6,True,5.0,5.0,239.93
5,7.67,0,5,1,7.67,56.0,2.76,True,5.0,5.0,132.21
4,7.83,0,4,1,7.83,56.0,3.24,True,4.0,4.0,1093.13
4,6.86,0,4,1,6.86,59.0,3.19,True,4.0,4.0,1561.81
4,6.21,0,4,1,6.21,54.0,3.16,True,4.0,4.0,742.72
4,7.78,0,4,1,7.78,56.0,3.19,True,4.0,4.0,1096.03
4,7.53,0,4,1,7.53,30.0,3.47,True,4.0,4.0,1622.65
9,1791.69,0,9,3,1791.69,39.0,3.0,True,9.0,9.0,28.25
16,647.38,0,9,2,670.75,73.0,7.89,True,9.0,9.0,35.66
9,492.37,0,9,2,492.37,73.0,2.71,True,9.0,9.0,26.37
12,463.96,0,9,3,878.74,37.0,3.8,True,9.0,9.0,16.99
9,103.38,0,9,1,103.38,73.0,2.77,True,9.0,9.0,131.07
8,131.97,0,8,1,131.97,34.0,4.13,True,8.0,8.0,486.68
8,87.64,0,8,1,87.64,72.0,3.33,True,8.0,8.0,148.7
8,89.88,0,8,1,89.88,52.0,5.41,True,8.0,8.0,289.74
8,69.6,0,8,1,69.6,74.0,8.33,True,8.0,8.0,786.2
8,662.12,0,8,2,662.12,49.0,4.18,,8.0,4.0,3600
7,55.04,0,7,1,55.04,43.0,4.71,,7.0,4.0,3600
7,49.64,0,7,1,49.64,63.0,3.92,True,7.0,7.0,3244.28
7,420.32,0,7,2,420.32,67.0,4.07,True,7.0,7.0,732.0
7,43.47,0,7,1,43.47,64.0,3.99,True,7.0,7.0,1278.51
7,58.24,0,7,1,58.24,53.0,6.15,True,7.0,7.0,520.14
6,34.02,0,6,1,34.02,71.0,4.59,,6.0,5.0,3600
6,27.73,0,6,1,27.73,41.0,5.09,,6.0,5.0,3600
6,30.81,0,6,1,30.81,63.0,5.59,,6.0,2.0,3600
6,32.6,0,6,1,32.6,66.0,4.62,,6.0,5.0,3600
6,36.62,0,6,1,36.62,67.0,4.79,True,6.0,6.0,3600
