first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
0,0.06,0,0,1,0.06,5.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,5.0,0.02,True,0.0,0.0,0.05
1,0.02,1,1,1,0.02,5.0,0.02,True,1.0,1.0,0.12
0,0.05,0,0,1,0.05,6.0,0.02,True,0.0,0.0,0.05
0,0.05,0,0,1,0.05,5.0,0.03,True,0.0,0.0,0.07
0,0.06,1,0,1,0.06,1.0,0.03,True,0.0,0.0,0.06
0,0.05,1,0,1,0.05,5.0,0.03,True,0.0,0.0,0.06
1,0.08,4,1,1,0.08,4.0,0.03,True,1.0,1.0,0.13
1,0.05,2,1,1,0.05,1.0,0.03,True,1.0,1.0,0.11
2,0.08,4,1,2,0.18,5.0,0.03,True,1.0,1.0,0.09
0,0.04,2,0,1,0.04,3.0,0.04,True,0.0,0.0,0.07
0,0.04,2,0,1,0.04,3.0,0.04,True,0.0,0.0,0.06
1,0.05,5,1,1,0.05,2.0,0.04,True,1.0,1.0,0.06
0,0.05,2,0,1,0.05,0.0,0.04,True,0.0,0.0,0.06
1,0.07,2,1,1,0.07,4.0,0.04,True,1.0,1.0,0.07
0,0.05,2,0,1,0.05,1.0,0.04,True,0.0,0.0,0.06
0,0.03,2,0,1,0.03,0.0,0.04,True,0.0,0.0,0.06
0,0.04,2,0,1,0.04,1.0,0.04,True,0.0,0.0,0.06
0,0.03,2,0,1,0.03,3.0,0.05,True,0.0,0.0,0.06
0,0.05,6,0,1,0.05,0.0,0.04,True,0.0,0.0,0.05
1,0.11,0,1,1,0.11,12.0,0.1,True,1.0,1.0,0.28
1,0.08,0,1,1,0.08,11.0,0.1,True,1.0,1.0,0.96
1,0.09,0,1,1,0.09,9.0,0.1,True,1.0,1.0,1.73
1,0.08,0,1,1,0.08,13.0,0.09,True,1.0,1.0,0.5
1,0.07,0,1,1,0.07,6.0,0.16,True,1.0,1.0,0.48
0,0.08,0,0,1,0.08,12.0,0.13,True,0.0,0.0,0.29
0,0.09,0,0,1,0.1,9.0,0.14,True,0.0,0.0,0.27
0,0.11,0,0,1,0.11,10.0,0.13,True,0.0,0.0,0.33
0,0.12,0,0,1,0.12,13.0,0.14,True,0.0,0.0,0.27
0,0.11,0,0,1,0.11,8.0,0.15,True,0.0,0.0,0.29
0,0.11,0,0,1,0.11,13.0,0.17,True,0.0,0.0,0.35
1,0.11,2,1,1,0.11,11.0,0.18,True,1.0,1.0,1.15
0,0.15,2,0,1,0.15,5.0,0.19,True,0.0,0.0,0.36
1,0.1,2,1,1,0.1,10.0,0.17,True,1.0,1.0,0.4
0,0.11,1,0,1,0.11,9.0,0.17,True,0.0,0.0,0.35
1,0.13,3,1,1,0.13,4.0,0.2,True,1.0,1.0,0.83
0,0.1,2,0,1,0.1,8.0,0.23,True,0.0,0.0,0.41
1,0.15,5,1,1,0.15,6.0,0.21,True,1.0,1.0,0.45
1,0.17,4,1,1,0.17,4.0,0.22,True,1.0,1.0,0.45
0,0.12,2,0,1,0.12,13.0,0.22,True,0.0,0.0,0.39
2,0.18,0,2,1,0.18,22.0,0.24,True,2.0,2.0,4.83
2,0.18,0,2,1,0.18,23.0,0.25,True,2.0,2.0,3.11
2,0.17,0,2,1,0.17,20.0,0.25,True,2.0,2.0,5.98
2,0.16,0,2,1,0.16,19.0,0.25,True,2.0,2.0,4.08
2,0.16,0,2,1,0.16,24.0,0.26,True,2.0,2.0,3.55
1,0.2,0,1,1,0.2,20.0,0.33,True,1.0,1.0,3.6
1,0.13,0,1,1,0.13,19.0,0.33,True,1.0,1.0,1.29
1,0.17,0,1,1,0.17,15.0,0.33,True,1.0,1.0,2.75
3,0.23,0,2,6,544.36,20.0,0.35,True,2.0,2.0,3326.76
3,2.0,0,2,2,2.09,18.0,0.35,True,2.0,2.0,3600
0,0.2,0,0,1,0.2,16.0,0.42,True,0.0,0.0,1.45
0,0.17,0,0,1,0.17,16.0,0.43,True,0.0,0.0,1.02
1,0.16,1,1,1,0.16,15.0,0.41,True,1.0,1.0,2.95
0,0.15,0,0,1,0.15,15.0,0.39,True,0.0,0.0,0.93
0,0.16,0,0,1,0.16,22.0,0.51,True,0.0,0.0,1.09
0,0.18,0,0,1,0.18,18.0,0.49,True,0.0,0.0,1.14
1,0.2,2,1,1,0.2,17.0,0.5,True,1.0,1.0,2.6
1,0.25,4,1,1,0.25,15.0,0.48,True,1.0,1.0,5.62
1,0.16,2,1,1,0.16,19.0,0.48,True,1.0,1.0,1.71
0,0.14,1,0,1,0.14,19.0,0.47,True,0.0,0.0,1.12
4,1.27,0,4,1,1.27,12.0,0.47,True,4.0,4.0,6.8
4,1.28,0,4,1,1.28,29.0,0.47,True,4.0,4.0,5.76
4,1.34,0,4,1,1.34,30.0,0.49,True,4.0,4.0,4.17
4,1.09,0,4,1,1.09,9.0,0.76,True,4.0,4.0,19.89
4,1.25,0,4,1,1.25,32.0,0.8,True,4.0,4.0,7.65
3,0.88,0,3,1,0.88,31.0,0.68,True,3.0,3.0,8.13
3,0.98,0,3,1,0.98,33.0,0.66,True,3.0,3.0,12.18
3,0.83,0,3,1,0.83,26.0,0.64,True,3.0,3.0,5.66
3,0.67,0,3,1,0.67,29.0,0.63,True,3.0,3.0,25.64
3,0.84,0,3,1,0.84,22.0,0.7,True,3.0,3.0,10.39
2,0.85,0,2,1,0.85,16.0,0.85,True,2.0,2.0,11.45
2,0.82,0,2,1,0.82,24.0,0.79,True,2.0,2.0,17.27
2,0.69,0,2,1,0.69,28.0,0.83,True,2.0,2.0,48.2
2,0.61,0,2,1,0.61,8.0,1.1,True,2.0,2.0,15.92
2,0.76,0,2,1,0.76,29.0,0.86,True,2.0,2.0,19.29
2,0.25,0,2,1,0.25,27.0,0.97,,2.0,1.0,3600
1,0.52,0,1,1,0.52,27.0,0.93,True,1.0,1.0,7.64
1,0.42,0,1,1,0.42,29.0,0.9,True,1.0,1.0,6.82
3,13.52,3,2,2,13.95,31.0,0.9,True,2.0,2.0,3412.36
2,0.25,0,2,1,0.25,16.0,1.0,True,2.0,2.0,3600
5,3.83,0,5,1,3.83,43.0,0.77,True,5.0,5.0,10.47
5,3.36,0,5,1,3.36,29.0,2.61,True,5.0,5.0,38.3
5,3.68,0,5,1,3.68,42.0,0.85,True,5.0,5.0,15.05
5,3.38,0,5,1,3.38,18.0,1.99,True,5.0,5.0,25.47
5,3.56,0,5,1,3.56,42.0,0.85,True,5.0,5.0,31.48
4,3.42,0,4,1,3.42,39.0,1.11,True,4.0,4.0,10.9
4,2.71,0,4,1,2.71,38.0,1.09,True,4.0,4.0,14.56
4,2.42,0,4,1,2.42,36.0,1.1,True,4.0,4.0,17.5
4,2.28,0,4,1,2.28,40.0,1.12,True,4.0,4.0,26.38
4,2.3,0,4,1,2.3,41.0,1.11,True,4.0,4.0,11.88
3,2.28,0,3,1,2.28,39.0,1.35,True,3.0,3.0,76.51
3,1.91,0,3,1,1.91,41.0,1.36,True,3.0,3.0,67.66
3,1.87,0,3,1,1.87,39.0,1.36,True,3.0,3.0,16.17
3,1.87,0,3,1,1.87,40.0,1.36,True,3.0,3.0,31.92
3,1.81,0,3,1,1.81,42.0,1.4,True,3.0,3.0,17.09
2,1.68,0,2,1,1.68,18.0,1.65,True,2.0,2.0,46.68
2,1.24,0,2,1,1.24,37.0,1.57,True,2.0,2.0,145.34
2,1.43,0,2,1,1.43,30.0,1.57,True,2.0,2.0,484.14
2,1.17,0,2,1,1.17,35.0,1.59,True,2.0,2.0,89.68
2,1.15,0,2,1,1.15,38.0,1.58,True,2.0,2.0,138.96
