first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
6,9.89,0,6,1,9.89,26.0,1.35,True,6.0,6.0,386.52
6,8.3,0,6,1,8.3,26.0,2.22,True,6.0,6.0,29.86
6,9.81,0,6,1,9.81,24.0,1.31,True,6.0,6.0,212.34
6,8.03,0,6,1,8.03,57.0,2.97,True,6.0,6.0,25.14
6,7.32,0,6,1,7.32,24.0,1.67,,6.0,3.0,3600
5,6.92,0,5,1,6.92,52.0,1.76,True,5.0,5.0,32.19
5,5.76,0,5,1,5.76,54.0,1.91,True,5.0,5.0,1488.14
5,5.76,0,5,1,5.76,40.0,1.72,True,5.0,5.0,18.01
5,6.67,0,5,1,6.67,27.0,1.89,True,5.0,5.0,13.09
5,4.91,0,5,1,4.91,52.0,2.39,True,5.0,5.0,40.68
4,4.92,0,4,1,4.92,51.0,2.09,True,4.0,4.0,221.84
4,4.32,0,4,1,4.32,53.0,2.25,True,4.0,4.0,319.71
4,3.69,0,4,1,3.69,52.0,2.09,True,4.0,4.0,60.46
4,4.32,0,4,1,4.32,49.0,2.09,True,4.0,4.0,65.42
4,3.78,0,4,1,3.78,51.0,2.07,True,4.0,4.0,181.25
3,3.61,0,3,1,3.61,43.0,2.34,True,3.0,3.0,254.87
3,3.14,0,3,1,3.14,48.0,2.34,True,3.0,3.0,275.11
3,3.32,0,3,1,3.32,46.0,2.37,True,3.0,3.0,404.69
3,3.55,0,3,1,3.55,46.0,2.35,True,3.0,3.0,294.7
3,2.9,0,3,1,2.9,47.0,2.35,True,3.0,3.0,293.14
7,21.82,0,7,1,21.82,10.0,2.2,True,7.0,7.0,14.72
7,574.49,0,7,2,574.49,26.0,1.95,True,7.0,7.0,41.76
7,568.21,0,7,2,568.21,27.0,1.93,True,7.0,7.0,13.5
7,18.37,0,7,1,18.37,35.0,3.34,True,7.0,7.0,27.65
7,18.98,0,7,1,18.98,29.0,3.8,True,7.0,7.0,647.79
6,19.04,0,6,1,19.04,61.0,2.91,True,6.0,6.0,288.43
6,17.67,0,6,1,17.67,61.0,2.9,True,6.0,6.0,58.44
6,16.09,0,6,1,16.09,52.0,2.63,True,6.0,6.0,33.95
6,14.02,0,6,1,14.02,27.0,2.86,True,6.0,6.0,136.46
6,15.3,0,6,1,15.3,59.0,6.02,True,6.0,6.0,155.96
5,12.51,0,5,1,12.51,52.0,3.05,True,5.0,5.0,285.51
5,10.84,0,5,1,10.84,60.0,2.99,True,5.0,5.0,514.9
5,11.15,0,5,1,11.15,56.0,3.05,True,5.0,5.0,552.81
5,8.9,0,5,1,8.9,52.0,3.04,True,5.0,5.0,124.47
5,13.01,0,5,1,13.01,54.0,3.01,True,5.0,5.0,989.38
4,8.31,0,4,1,8.31,62.0,3.51,True,4.0,4.0,1487.38
4,7.24,0,4,1,7.24,61.0,3.49,True,4.0,4.0,1467.29
4,7.55,0,4,1,7.55,56.0,3.51,True,4.0,4.0,732.98
4,7.98,0,4,1,7.98,57.0,3.51,True,4.0,4.0,1081.37
4,5.23,0,4,1,5.23,61.0,3.51,True,4.0,4.0,1211.58
9,116.64,0,9,1,116.64,73.0,2.82,True,9.0,9.0,32.89
9,491.62,0,9,2,491.62,55.0,11.16,True,9.0,9.0,40.35
9,689.09,0,9,2,689.09,61.0,3.06,,9.0,4.0,3600
9,99.11,0,9,1,99.11,17.0,7.9,True,9.0,9.0,210.17
9,659.67,0,9,2,659.67,42.0,8.48,True,9.0,9.0,568.22
8,110.57,0,8,1,110.57,19.0,5.45,True,8.0,8.0,218.18
8,81.18,0,8,1,81.18,70.0,4.61,True,8.0,8.0,114.52
8,509.98,0,8,2,509.98,70.0,9.01,True,8.0,8.0,49.49
8,431.94,0,8,2,431.94,23.0,7.97,,8.0,6.0,3600
8,72.62,0,8,1,72.62,73.0,7.71,True,8.0,8.0,82.62
7,43.29,0,7,1,43.29,47.0,7.06,,7.0,6.0,3600
7,56.17,1,7,1,56.17,71.0,4.41,,7.0,3.0,3600
7,59.26,0,7,1,59.26,49.0,5.22,True,7.0,7.0,1211.79
7,31.9,0,7,1,31.9,68.0,5.39,True,7.0,7.0,1880.87
7,49.64,0,7,1,49.64,68.0,4.4,True,7.0,7.0,821.18
6,35.88,0,6,1,35.88,67.0,8.71,True,6.0,6.0,3514.28
6,31.76,0,6,1,31.76,68.0,5.0,True,6.0,6.0,2602.85
6,35.14,0,6,1,35.14,62.0,6.9,True,6.0,6.0,3600
6,33.32,0,6,1,33.32,66.0,6.3,True,6.0,6.0,3600
6,30.75,0,6,1,30.75,69.0,5.21,,6.0,5.0,3600
