Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num,name
648,48,,,22,22,0.703,13,13,1,M4expert
639,47,,,16,16,0.753,10,10,1,M5expert
648,48,,,10,4,3600,13,53,1,M4gamma0.95lambda1.25setup10
648,48,,,11,5,3600,13,13,1,M4gamma0.95lambda1.05setup11
648,48,,,11,4,3600,13,156,1,M4gamma0.9lambda1.25setup11
648,48,,,12,5,3600,13,15,1,M4gamma0.9lambda1.05setup12
639,47,,,6,3,3600,10,10,2,M5gamma0.95lambda1.05setup6
639,47,,,6,3,3600,10,10,2,M5gamma0.95lambda1.25setup6
639,47,,,6,3,3600,10,10,2,M5gamma0.9lambda1.05setup6
639,47,,,6,3,3600,10,10,2,M5gamma0.9lambda1.25setup6
