Job num,Machine num,Seed,Lambda,cp value,cp lb,cp time,cp status
30,2,10,1.15,2,2,106.53,1
30,2,20,1.15,2,2,42.06,1
30,2,30,1.15,2,2,56.06,1
30,2,40,1.15,2,2,59.93,1
30,2,50,1.15,2,2,76.28,1
30,2,60,1.15,2,2,60.27,1
30,2,70,1.15,2,2,69.17,1
30,2,80,1.15,2,2,59.68,1
30,2,90,1.15,2,2,50.75,1
30,2,100,1.15,2,2,71.67,1
30,3,10,1.15,1,1,11.82,1
30,3,20,1.15,1,1,30.17,1
30,3,30,1.15,1,1,56.47,1
30,3,40,1.15,1,1,59.9,1
30,3,50,1.15,2,1,3600,
30,3,60,1.15,2,1,3600,
30,3,70,1.15,1,1,12.09,1
30,3,80,1.15,1,1,11.98,1
30,3,90,1.15,1,1,41.06,1
30,3,100,1.15,1,1,12.24,1
30,4,10,1.15,0,0,2.63,1
30,4,20,1.15,0,0,4.22,1
30,4,30,1.15,0,0,4.15,1
30,4,40,1.15,0,0,5.64,1
30,4,50,1.15,0,0,4.55,1
30,4,60,1.15,0,0,2.37,1
30,4,70,1.15,0,0,2.25,1
30,4,80,1.15,0,0,1.95,1
30,4,90,1.15,0,0,2.92,1
30,4,100,1.15,1,1,36.76,1
30,5,10,1.15,0,0,6.79,1
30,5,20,1.15,0,0,12.33,1
30,5,30,1.15,0,0,3.84,1
30,5,40,1.15,0,0,8.84,1
30,5,50,1.15,0,0,5,1
30,5,60,1.15,0,0,3.77,1
30,5,70,1.15,0,0,2.85,1
30,5,80,1.15,0,0,2.8,1
30,5,90,1.15,0,0,4.56,1
30,5,100,1.15,0,0,4.71,1
40,2,10,1.15,4,2,3600,
40,2,20,1.15,4,2,3600,
40,2,30,1.15,4,2,3600,
40,2,40,1.15,4,2,3600,
40,2,50,1.15,4,2,3600,
40,2,60,1.15,4,2,3600,
40,2,70,1.15,4,3,3600,
40,2,80,1.15,4,3,3600,
40,2,90,1.15,4,2,3600,
40,2,100,1.15,4,2,3600,
40,3,10,1.15,3,2,3600,
40,3,20,1.15,3,2,3600,
40,3,30,1.15,3,2,3600,
40,3,40,1.15,3,2,3600,
40,3,50,1.15,3,2,3600,
40,3,60,1.15,3,2,3600,
40,3,70,1.15,3,2,3600,
40,3,80,1.15,3,2,3600,
40,3,90,1.15,3,2,3600,
40,3,100,1.15,3,2,3600,
40,4,10,1.15,2,2,2274.73,1
40,4,20,1.15,2,2,2415.52,1
40,4,30,1.15,2,1,3600,
40,4,40,1.15,2,2,3408.43,1
40,4,50,1.15,2,1,3600,
40,4,60,1.15,2,2,2593.37,1
40,4,70,1.15,2,2,2392.5,1
40,4,80,1.15,2,2,2920.02,1
40,4,90,1.15,3,2,3600,
40,4,100,1.15,2,1,3600,
40,5,10,1.15,2,1,3600,
40,5,20,1.15,1,1,452.67,1
40,5,30,1.15,2,1,3600,
40,5,40,1.15,1,1,373.73,1
40,5,50,1.15,2,1,3600,
40,5,60,1.15,1,1,637.81,1
40,5,70,1.15,1,1,1137.74,1
40,5,80,1.15,2,1,3600,
40,5,90,1.15,2,1,3600,
40,5,100,1.15,1,1,214.41,1
50,2,10,1.15,5,2,3600,
50,2,20,1.15,6,2,3600,
50,2,30,1.15,5,2,3600,
50,2,40,1.15,5,2,3600,
50,2,50,1.15,5,2,3600,
50,2,60,1.15,5,2,3600,
50,2,70,1.15,5,2,3600,
50,2,80,1.15,5,2,3600,
50,2,90,1.15,6,2,3600,
50,2,100,1.15,5,2,3600,
50,3,10,1.15,5,2,3600,
50,3,20,1.15,4,1,3600,
50,3,30,1.15,4,1,3600,
50,3,40,1.15,4,1,3600,
50,3,50,1.15,5,1,3600,
50,3,60,1.15,4,2,3600,
50,3,70,1.15,4,2,3600,
50,3,80,1.15,4,1,3600,
50,3,90,1.15,6,1,3600,
50,3,100,1.15,6,2,3600,
50,4,10,1.15,3,1,3600,
50,4,20,1.15,46,1,3600,
50,4,30,1.15,3,1,3600,
50,4,40,1.15,3,1,3600,
50,4,50,1.15,3,1,3600,
50,4,60,1.15,3,1,3600,
50,4,70,1.15,3,1,3600,
50,4,80,1.15,3,1,3600,
50,4,90,1.15,46,1,3600,
50,4,100,1.15,3,1,3600,
50,5,10,1.15,45,1,3600,
50,5,20,1.15,45,1,3600,
50,5,30,1.15,2,1,3600,
50,5,40,1.15,45,1,3600,
50,5,50,1.15,45,1,3600,
50,5,60,1.15,2,1,3600,
50,5,70,1.15,2,1,3600,
50,5,80,1.15,2,1,3600,
50,5,90,1.15,45,1,3600,
50,5,100,1.15,45,1,3600,
60,2,10,1.15,7,2,3600,
60,2,20,1.15,6,2,3600,
60,2,30,1.15,6,2,3600,
60,2,40,1.15,6,2,3600,
60,2,50,1.15,6,2,3600,
60,2,60,1.15,6,2,3600,
60,2,70,1.15,6,2,3600,
60,2,80,1.15,6,2,3600,
60,2,90,1.15,6,2,3600,
60,2,100,1.15,6,2,3600,
60,3,10,1.15,57,1,3600,
60,3,20,1.15,8,1,3600,
60,3,30,1.15,5,1,3600,
60,3,40,1.15,6,1,3600,
60,3,50,1.15,7,1,3600,
60,3,60,1.15,5,1,3600,
60,3,70,1.15,5,1,3600,
60,3,80,1.15,57,1,3600,
60,3,90,1.15,5,1,3600,
60,3,100,1.15,5,1,3600,
60,4,10,1.15,56,1,3600,
60,4,20,1.15,56,1,3600,
60,4,30,1.15,4,1,3600,
60,4,40,1.15,4,1,3600,
60,4,50,1.15,56,1,3600,
60,4,60,1.15,5,1,3600,
60,4,70,1.15,4,1,3600,
60,4,80,1.15,56,1,3600,
60,4,90,1.15,56,1,3600,
60,4,100,1.15,56,1,3600,
60,5,10,1.15,55,0,3600,
60,5,20,1.15,55,1,3600,
60,5,30,1.15,55,0,3600,
60,5,40,1.15,55,0,3600,
60,5,50,1.15,55,1,3600,
60,5,60,1.15,55,1,3600,
60,5,70,1.15,55,1,3600,
60,5,80,1.15,55,0,3600,
60,5,90,1.15,55,0,3600,
60,5,100,1.15,55,1,3600,
70,2,10,1.15,7,2,3600,
70,2,20,1.15,7,2,3600,
70,2,30,1.15,7,2,3600,
70,2,40,1.15,7,2,3600,
70,2,50,1.15,9,2,3600,
70,2,60,1.15,8,2,3600,
70,2,70,1.15,7,2,3600,
70,2,80,1.15,7,2,3600,
70,2,90,1.15,8,2,3600,
70,2,100,1.15,7,2,3600,
70,3,10,1.15,67,1,3600,
70,3,20,1.15,6,1,3600,
70,3,30,1.15,6,1,3600,
70,3,40,1.15,7,1,3600,
70,3,50,1.15,67,1,3600,
70,3,60,1.15,7,1,3600,
70,3,70,1.15,6,1,3600,
70,3,80,1.15,7,1,3600,
70,3,90,1.15,6,1,3600,
70,3,100,1.15,6,1,3600,
70,4,10,1.15,66,1,3600,
70,4,20,1.15,66,1,3600,
70,4,30,1.15,66,1,3600,
70,4,40,1.15,7,0,3600,
70,4,50,1.15,66,1,3600,
70,4,60,1.15,66,1,3600,
70,4,70,1.15,6,0,3600,
70,4,80,1.15,66,0,3600,
70,4,90,1.15,66,1,3600,
70,4,100,1.15,66,1,3600,
70,5,10,1.15,65,0,3600,
