Job num,Machine num,Seed,Lambda,objective value,feasible_TF,total time
100,20,110,1.15,5,True,275.611
100,20,120,1.15,0,True,352.289
100,20,130,1.15,4,True,230.615
100,20,140,1.15,4,True,297.426
100,20,150,1.15,4,True,236.876
100,20,160,1.15,2,True,530.526
100,20,170,1.15,2,True,419.32
100,20,180,1.15,1,True,613.768
100,20,190,1.15,0,True,545.89
100,20,200,1.15,6,True,192.711
100,25,110,1.15,5,True,264.361
100,25,120,1.15,0,True,227.624
100,25,130,1.15,1,True,263.817
100,25,140,1.15,2,True,257.451
100,25,150,1.15,4,True,209.895
100,25,160,1.15,3,True,223.645
100,25,170,1.15,0,True,307.609
100,25,180,1.15,0,True,403.152
100,25,190,1.15,0,True,358.591
100,25,200,1.15,0,True,228.806
200,20,110,1.15,59,0,2655.838
200,20,120,1.15,45,0,2380.865
200,20,130,1.15,65,0,1524.057
200,20,140,1.15,58,0,3600.239
200,20,150,1.15,73,0,1679.523
200,20,160,1.15,63,0,3246.509
200,20,170,1.15,57,0,3600.267
200,20,180,1.15,46,0,2023.421
200,20,190,1.15,54,0,1727.633
200,20,200,1.15,124,0,3142.892
200,25,110,1.15,21,0,1906.969
200,25,120,1.15,29,0,1580.251
200,25,130,1.15,12,True,1699.101
200,25,140,1.15,19,0,1668.209
200,25,150,1.15,9,True,1258.027
200,25,160,1.15,5,True,3520.274
200,25,170,1.15,17,True,1529.357
200,25,180,1.15,10,True,1580.987
200,25,190,1.15,17,True,1105.665
200,25,200,1.15,21,True,2122.551
