first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_lb,cp_time
0,0.06,0,0,1,0.06,3.0,0.03,True,0.0,0.0,0.04
0,0.04,0,0,1,0.04,3.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,6.0,0.02,True,0.0,0.0,0.04
0,0.05,0,0,1,0.05,6.0,0.02,True,0.0,0.0,0.05
0,0.04,0,0,1,0.04,5.0,0.02,True,0.0,0.0,0.04
0,0.05,1,0,1,0.05,2.0,0.03,True,0.0,0.0,0.06
1,0.03,2,1,1,0.03,2.0,0.03,True,1.0,1.0,0.09
0,0.04,1,0,1,0.04,4.0,0.04,True,0.0,0.0,0.06
0,0.04,1,0,1,0.04,1.0,0.03,True,0.0,0.0,0.06
0,0.05,0,0,1,0.05,1.0,0.03,True,0.0,0.0,0.06
0,0.03,4,0,1,0.03,2.0,0.04,True,0.0,0.0,0.06
0,0.04,2,0,1,0.04,0.0,0.04,True,0.0,0.0,0.05
0,0.03,2,0,1,0.03,3.0,0.04,True,0.0,0.0,0.06
0,0.03,3,0,1,0.03,3.0,0.04,True,0.0,0.0,0.06
0,0.02,2,0,1,0.02,4.0,0.04,True,0.0,0.0,0.07
0,0.03,3,0,1,0.03,1.0,0.04,True,0.0,0.0,0.06
0,0.04,2,0,1,0.04,1.0,0.04,True,0.0,0.0,0.07
0,0.04,4,0,1,0.04,3.0,0.04,True,0.0,0.0,0.06
0,0.05,6,0,1,0.05,0.0,0.03,True,0.0,0.0,0.04
0,0.03,2,0,1,0.03,3.0,0.04,True,0.0,0.0,0.06
1,0.07,0,1,1,0.07,15.0,0.09,True,1.0,1.0,0.61
1,0.07,0,1,1,0.07,3.0,0.14,True,1.0,1.0,1.0
1,0.06,0,1,1,0.06,3.0,0.15,True,1.0,1.0,0.89
1,0.05,0,1,1,0.05,10.0,0.09,True,1.0,1.0,0.75
1,0.09,0,1,1,0.09,13.0,0.1,True,1.0,1.0,0.69
0,0.11,0,0,1,0.11,11.0,0.12,True,0.0,0.0,0.27
0,0.09,0,0,1,0.09,0.0,0.16,True,0.0,0.0,0.26
0,0.08,0,0,1,0.08,11.0,0.12,True,0.0,0.0,0.27
0,0.08,0,0,1,0.08,11.0,0.13,True,0.0,0.0,0.27
0,0.09,0,0,1,0.09,13.0,0.12,True,0.0,0.0,0.24
0,0.1,1,0,1,0.1,10.0,0.16,True,0.0,0.0,0.33
1,0.08,2,1,1,0.08,7.0,0.15,True,1.0,1.0,1.22
0,0.13,1,0,1,0.13,11.0,0.16,True,0.0,0.0,0.34
0,0.09,1,0,1,0.09,4.0,0.16,True,0.0,0.0,0.34
0,0.12,0,0,1,0.12,9.0,0.15,True,0.0,0.0,0.3
0,0.12,3,0,1,0.12,8.0,0.18,True,0.0,0.0,0.39
1,0.12,6,1,1,0.12,7.0,0.18,True,1.0,1.0,1.1
1,0.12,3,1,1,0.12,10.0,0.19,True,1.0,1.0,0.39
0,0.1,2,0,1,0.1,10.0,0.18,True,0.0,0.0,0.36
1,0.1,3,1,1,0.1,10.0,0.18,True,1.0,1.0,1.41
2,0.15,0,2,1,0.15,23.0,0.21,True,2.0,2.0,3.13
2,0.13,0,2,1,0.13,12.0,0.23,True,2.0,2.0,3.18
2,0.16,0,2,1,0.16,24.0,0.42,True,2.0,2.0,3.41
2,0.15,0,2,1,0.15,19.0,0.22,True,2.0,2.0,3.29
2,0.17,0,2,1,0.17,23.0,0.21,True,2.0,2.0,3.57
1,0.15,0,1,1,0.15,22.0,0.29,True,1.0,1.0,5.99
