Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
30,2,10,1.15,2,2,0.081,0,0,1
30,2,20,1.15,2,2,0.097,0,0,1
30,2,30,1.15,2,2,0.116,0,0,1
30,2,40,1.15,2,2,0.083,0,0,1
30,2,50,1.15,2,2,0.07,0,0,1
30,2,60,1.15,2,2,0.069,0,0,1
30,2,70,1.15,2,2,0.083,0,0,1
30,2,80,1.15,2,2,0.099,0,0,1
30,2,90,1.15,2,2,0.077,0,0,1
30,2,100,1.15,2,2,0.09,0,0,1
30,3,10,1.15,1,1,0.109,0,0,1
30,3,20,1.15,1,1,0.131,0,0,1
30,3,30,1.15,1,1,0.124,0,0,1
30,3,40,1.15,1,1,0.087,0,0,1
30,3,50,1.15,1,1,0.107,0,0,1
30,3,60,1.15,1,1,0.093,0,0,1
30,3,70,1.15,1,1,0.107,0,0,1
30,3,80,1.15,1,1,0.122,0,0,1
30,3,90,1.15,1,1,0.108,0,0,1
30,3,100,1.15,1,1,0.093,0,0,1
30,4,10,1.15,0,0,0.061,0,0,1
30,4,20,1.15,0,0,0.06,0,0,1
30,4,30,1.15,0,0,0.086,0,0,1
30,4,40,1.15,0,0,0.091,0,0,1
30,4,50,1.15,0,0,0.062,0,0,1
30,4,60,1.15,0,0,0.09,0,0,1
30,4,70,1.15,0,0,0.079,0,0,1
30,4,80,1.15,0,0,0.062,0,0,1
30,4,90,1.15,0,0,0.078,0,0,1
30,4,100,1.15,0,0,0.076,0,0,1
30,5,10,1.15,0,0,0.062,0,0,1
30,5,20,1.15,0,0,0.059,0,0,1
30,5,30,1.15,0,0,0.062,0,0,1
30,5,40,1.15,0,0,0.06,0,0,1
30,5,50,1.15,0,0,0.062,0,0,1
30,5,60,1.15,0,0,0.061,1,1,1
30,5,70,1.15,0,0,0.061,0,0,1
30,5,80,1.15,0,0,0.061,0,0,1
30,5,90,1.15,0,0,0.061,0,0,1
30,5,100,1.15,0,0,0.062,1,1,1
40,2,10,1.15,4,4,0.622,0,0,1
40,2,20,1.15,4,4,0.613,0,0,1
40,2,30,1.15,4,4,0.644,0,0,1
40,2,40,1.15,4,4,0.599,0,0,1
40,2,50,1.15,4,4,0.52,0,0,1
40,2,60,1.15,4,4,0.598,0,0,1
40,2,70,1.15,4,4,0.614,0,0,1
40,2,80,1.15,4,4,0.65,0,0,1
40,2,90,1.15,4,4,0.551,0,0,1
40,2,100,1.15,4,4,0.562,0,0,1
40,3,10,1.15,3,3,0.483,0,0,1
40,3,20,1.15,3,3,0.54,0,0,1
40,3,30,1.15,3,3,0.542,0,0,1
40,3,40,1.15,3,3,0.57,0,0,1
40,3,50,1.15,3,3,0.386,0,0,1
40,3,60,1.15,3,3,0.5,0,0,1
