Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
30,2,10,1.15,2,2,0.015,0,0,1
30,2,20,1.15,2,2,0.038,0,0,1
30,2,30,1.15,2,2,0.031,0,0,1
30,2,40,1.15,2,2,0.012,0,0,1
30,2,50,1.15,2,2,0.014,0,0,1
30,2,60,1.15,2,2,0.013,0,0,1
30,2,70,1.15,2,2,0.035,0,0,1
30,2,80,1.15,2,2,0.03,0,0,1
30,2,90,1.15,2,2,0.013,0,0,1
30,2,100,1.15,2,2,0.033,0,0,1
30,3,10,1.15,1,1,0.045,0,0,1
30,3,20,1.15,1,1,0.045,0,0,1
30,3,30,1.15,1,1,0.046,0,0,1
30,3,40,1.15,1,1,0.046,0,0,1
30,3,50,1.15,1,1,0.045,0,0,1
30,3,60,1.15,1,1,0.053,0,0,1
30,3,70,1.15,1,1,0.041,0,0,1
30,3,80,1.15,1,1,0.05,0,0,1
30,3,90,1.15,1,1,0.042,0,0,1
30,3,100,1.15,1,1,0.034,0,0,1
30,4,10,1.15,0,0,0.061,0,0,1
30,4,20,1.15,0,0,0.06,0,0,1
30,4,30,1.15,0,0,0.063,0,0,1
30,4,40,1.15,0,0,0.062,0,0,1
30,4,50,1.15,0,0,0.06,0,0,1
30,4,60,1.15,0,0,0.065,0,0,1
30,4,70,1.15,0,0,0.06,0,0,1
30,4,80,1.15,0,0,0.062,0,0,1
30,4,90,1.15,0,0,0.061,0,0,1
30,4,100,1.15,0,0,0.061,0,0,1
30,5,10,1.15,0,0,0.06,0,0,1
30,5,20,1.15,0,0,0.062,0,0,1
30,5,30,1.15,0,0,0.058,0,0,1
30,5,40,1.15,0,0,0.066,0,0,1
30,5,50,1.15,0,0,0.053,0,0,1
30,5,60,1.15,0,0,0.06,1,1,1
30,5,70,1.15,0,0,0.06,0,0,1
30,5,80,1.15,0,0,0.059,0,0,1
30,5,90,1.15,0,0,0.063,0,0,1
30,5,100,1.15,0,0,0.064,1,1,1
40,2,10,1.15,4,4,0.026,0,0,1
40,2,20,1.15,4,4,0.021,0,0,1
40,2,30,1.15,4,4,0.02,0,0,1
40,2,40,1.15,4,4,0.026,0,0,1
40,2,50,1.15,4,4,0.036,0,0,1
40,2,60,1.15,4,4,0.039,0,0,1
40,2,70,1.15,4,4,0.022,0,0,1
40,2,80,1.15,4,4,0.021,0,0,1
40,2,90,1.15,4,4,0.032,0,0,1
