Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
30,2,10,1.15,2,2,0.017,0,0,1
30,2,20,1.15,2,2,0.016,0,0,1
30,2,30,1.15,2,2,0.016,0,0,1
30,2,40,1.15,2,2,0.019,0,0,1
30,2,50,1.15,2,2,0.019,0,0,1
30,2,60,1.15,2,2,0.016,0,0,1
30,2,70,1.15,2,2,0.016,0,0,1
30,2,80,1.15,2,2,0.017,0,0,1
30,2,90,1.15,2,2,0.017,0,0,1
30,2,100,1.15,2,2,0.015,0,0,1
30,3,10,1.15,1,1,0.056,0,0,1
30,3,20,1.15,1,1,0.046,0,0,1
30,3,30,1.15,1,1,0.061,0,0,1
30,3,40,1.15,1,1,0.046,0,0,1
30,3,50,1.15,2,2,0.122,0,0,1
30,3,60,1.15,2,2,0.098,0,0,1
30,3,70,1.15,1,1,0.056,0,0,1
30,3,80,1.15,1,1,0.062,0,0,1
30,3,90,1.15,1,1,0.047,0,0,1
30,3,100,1.15,1,1,0.044,0,0,1
30,4,10,1.15,0,0,0.076,0,0,1
30,4,20,1.15,0,0,0.077,0,0,1
30,4,30,1.15,0,0,0.078,0,0,1
30,4,40,1.15,0,0,0.064,0,0,1
30,4,50,1.15,0,0,0.074,0,0,1
30,4,60,1.15,0,0,0.064,0,0,1
30,4,70,1.15,0,0,0.072,0,0,1
30,4,80,1.15,0,0,0.062,0,0,1
30,4,90,1.15,0,0,0.063,0,0,1
30,4,100,1.15,1,1,0.059,1,1,1
30,5,10,1.15,0,0,0.061,1,1,1
30,5,20,1.15,0,0,0.061,1,1,1
30,5,30,1.15,0,0,0.06,0,0,1
30,5,40,1.15,0,0,0.064,1,1,1
30,5,50,1.15,0,0,0.062,1,1,1
30,5,60,1.15,0,0,0.062,1,1,1
30,5,70,1.15,0,0,0.062,0,0,1
30,5,80,1.15,0,0,0.061,0,0,1
30,5,90,1.15,0,0,0.063,1,1,1
30,5,100,1.15,0,0,0.06,1,1,1
40,2,10,1.15,4,4,0.046,0,0,1
40,2,20,1.15,4,4,0.045,0,0,1
40,2,30,1.15,4,4,0.047,0,0,1
40,2,40,1.15,4,4,0.046,0,0,1
40,2,50,1.15,4,4,0.052,0,0,1
40,2,60,1.15,4,4,0.051,0,0,1
40,2,70,1.15,4,4,0.049,0,0,1
40,2,80,1.15,4,4,0.044,0,0,1
40,2,90,1.15,4,4,0.049,0,0,1
40,2,100,1.15,4,4,0.049,0,0,1
40,3,10,1.15,3,3,0.089,0,0,1
40,3,20,1.15,3,3,0.089,0,0,1
40,3,30,1.15,3,3,0.091,0,0,1
40,3,40,1.15,3,3,0.088,0,0,1
40,3,50,1.15,3,3,0.089,0,0,1
40,3,60,1.15,3,3,0.105,0,0,1
40,3,70,1.15,3,3,0.095,0,0,1
40,3,80,1.15,3,3,0.087,0,0,1
40,3,90,1.15,3,3,0.103,0,0,1
40,3,100,1.15,3,3,0.087,0,0,1
40,4,10,1.15,2,2,0.111,0,0,1
40,4,20,1.15,2,2,0.108,0,0,1
40,4,30,1.15,2,2,0.12,0,0,1
40,4,40,1.15,2,2,0.124,0,0,1
40,4,50,1.15,2,2,0.123,0,0,1
40,4,60,1.15,2,2,0.125,0,0,1
40,4,70,1.15,2,2,0.105,0,0,1
40,4,80,1.15,2,2,0.111,0,0,1
40,4,90,1.15,2,2,0.123,0,0,1
40,4,100,1.15,2,2,0.122,0,0,1
40,5,10,1.15,2,2,0.251,0,2,1
40,5,20,1.15,1,1,0.156,0,0,1
40,5,30,1.15,2,2,0.43,0,1,2
40,5,40,1.15,1,1,0.171,0,0,1
40,5,50,1.15,2,2,0.298,0,1,2
40,5,60,1.15,1,1,0.166,0,0,1
40,5,70,1.15,1,1,0.167,0,0,1
40,5,80,1.15,2,2,0.235,0,1,1
40,5,90,1.15,2,2,0.652,0,3,4
40,5,100,1.15,1,1,0.172,0,0,1
50,2,10,1.15,5,5,0.101,0,0,1
50,2,20,1.15,5,5,0.117,0,0,1
50,2,30,1.15,5,5,0.062,0,0,1
50,2,40,1.15,5,5,0.096,0,0,1
50,2,50,1.15,5,5,0.107,0,0,1
50,2,60,1.15,5,5,0.082,0,0,1
50,2,70,1.15,5,5,0.084,0,0,1
