Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
100,20,10,1.15,1,0,3600,8,12,2
100,20,20,1.15,0,0,0.235,4,4,1
100,20,30,1.15,0,0,0.213,5,5,1
100,20,40,1.15,0,0,0.381,6,35,1
100,20,50,1.15,0,0,0.279,6,6,1
100,20,60,1.15,0,0,0.437,6,8,1
100,20,70,1.15,0,0,0.279,5,5,1
100,20,80,1.15,0,0,0.218,7,7,1
100,20,90,1.15,0,0,0.317,6,9,1
100,20,100,1.15,0,0,0.23,6,6,1
100,25,10,1.15,0,0,0.477,10,23,1
100,25,20,1.15,0,0,0.691,12,42,1
100,25,30,1.15,0,0,0.294,11,11,1
100,25,40,1.15,0,0,1.144,12,66,1
100,25,50,1.15,1,0,3600,13,37,2
100,25,60,1.15,0,0,1.369,10,87,1
100,25,70,1.15,0,0,0.463,9,18,1
100,25,80,1.15,0,0,0.348,11,11,1
100,25,90,1.15,0,0,0.958,12,43,1
100,25,100,1.15,2,0,3600,13,388,2
200,20,10,1.15,6,6,1264.116,0,93,12
200,20,20,1.15,6,6,1175.029,0,77,16
200,20,30,1.15,6,6,829.802,0,68,16
200,20,40,1.15,6,6,171.537,0,34,8
200,20,50,1.15,7,6,3600,0,40,5
200,20,60,1.15,6,6,2001.722,0,56,23
200,20,70,1.15,7,6,3600,0,94,13
200,20,80,1.15,6,6,52.905,0,18,2
200,20,90,1.15,6,6,754.748,0,35,9
200,20,100,1.15,7,6,3600,0,79,14
200,25,10,1.15,3,2,3600,1,10,5
200,25,20,1.15,2,2,5.064,0,0,1
200,25,30,1.15,1,1,64.325,0,5,5
200,25,40,1.15,1,1,1.084,0,0,1
200,25,50,1.15,1,1,0.616,0,0,1
200,25,60,1.15,3,2,3600,1,4,4
200,25,70,1.15,1,1,0.571,0,0,1
200,25,80,1.15,1,1,0.542,0,0,1
200,25,90,1.15,1,1,11.24,0,2,1
200,25,100,1.15,2,2,25.54,0,22,3
