Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
30,2,10,1.15,2,2,0.105,0,0,1
30,2,20,1.15,,2,3600,0,0,2
30,2,30,1.15,2,2,0.145,0,0,1
30,2,40,1.15,2,2,0.107,0,0,1
30,2,50,1.15,2,2,0.075,0,0,1
30,2,60,1.15,2,2,0.091,0,0,1
30,2,70,1.15,,2,3600,0,0,2
30,2,80,1.15,2,2,0.119,0,0,1
30,2,90,1.15,2,2,0.102,0,0,1
30,2,100,1.15,2,2,0.088,0,0,1
30,3,10,1.15,1,1,0.075,0,0,1
30,3,20,1.15,1,1,0.072,0,0,1
30,3,30,1.15,1,1,0.076,0,0,1
30,3,40,1.15,1,1,0.085,0,0,1
30,3,50,1.15,2,2,16.577,0,1,3
30,3,60,1.15,2,2,0.467,0,1,3
30,3,70,1.15,1,1,0.063,0,0,1
30,3,80,1.15,1,1,0.058,0,0,1
30,3,90,1.15,1,1,0.076,0,0,1
30,3,100,1.15,1,1,0.059,0,0,1
30,4,10,1.15,0,0,0.046,0,0,1
30,4,20,1.15,0,0,0.046,0,0,1
30,4,30,1.15,0,0,0.045,0,0,1
30,4,40,1.15,0,0,0.044,0,0,1
30,4,50,1.15,0,0,0.046,0,0,1
30,4,60,1.15,0,0,0.046,0,0,1
30,4,70,1.15,0,0,0.045,0,0,1
30,4,80,1.15,0,0,0.045,0,0,1
30,4,90,1.15,0,0,0.045,0,0,1
30,4,100,1.15,1,1,0.048,1,1,1
30,5,10,1.15,0,0,0.045,1,1,1
30,5,20,1.15,0,0,0.045,1,1,1
30,5,30,1.15,0,0,0.045,0,0,1
30,5,40,1.15,0,0,0.043,1,1,1
30,5,50,1.15,0,0,0.049,1,1,1
30,5,60,1.15,0,0,0.046,1,1,1
30,5,70,1.15,0,0,0.045,0,0,1
30,5,80,1.15,0,0,0.045,0,0,1
30,5,90,1.15,0,0,0.044,1,1,1
30,5,100,1.15,0,0,0.047,1,1,1
60,2,10,1.15,,6,3600,0,0,2
60,2,20,1.15,7,6,3600,0,0,9
60,2,30,1.15,,6,3600,0,0,2
60,2,40,1.15,6,6,8.428,0,0,1
60,2,50,1.15,6,6,178.917,0,0,2
60,2,60,1.15,6,6,2.731,0,0,1
60,2,70,1.15,6,6,5.422,0,0,1
60,2,80,1.15,,6,3600,0,0,2
60,2,90,1.15,6,6,2.645,0,0,1
60,2,100,1.15,,6,3600,0,0,2
60,3,10,1.15,5,5,0.625,0,0,1
60,3,20,1.15,5,5,910.293,0,0,7
60,3,30,1.15,,5,3600,0,0,2
60,3,40,1.15,5,5,0.388,0,0,1
60,3,50,1.15,,5,3600,0,0,2
60,3,60,1.15,5,5,1.049,0,0,2
60,3,70,1.15,5,5,0.284,0,0,1
60,3,80,1.15,5,5,364.513,0,0,4
60,3,90,1.15,5,5,182.544,0,0,3
60,3,100,1.15,5,5,0.414,0,0,1
60,4,10,1.15,,4,3600,0,0,2
60,4,20,1.15,4,4,2.945,0,0,2
60,4,30,1.15,4,4,0.311,0,0,1
60,4,40,1.15,,4,3600,0,0,2
60,4,50,1.15,,4,3600,0,0,2
60,4,60,1.15,4,4,0.242,0,0,1
60,4,70,1.15,4,4,0.414,0,0,1
60,4,80,1.15,4,4,0.191,0,0,1
60,4,90,1.15,4,4,0.161,0,0,1
60,4,100,1.15,,4,3600,0,0,2
60,5,10,1.15,3,3,1.01,0,1,2
60,5,20,1.15,3,3,0.235,0,0,1
60,5,30,1.15,3,3,101.601,0,1,2
60,5,40,1.15,3,3,9.8,0,1,4
60,5,50,1.15,3,3,1412.07,0,3,6
60,5,60,1.15,3,3,0.899,0,0,2
60,5,70,1.15,3,3,0.168,0,0,1
60,5,80,1.15,3,3,0.167,0,0,1
60,5,90,1.15,3,3,0.544,0,0,2
60,5,100,1.15,3,3,0.148,0,0,1
