Job num,Machine num,Seed,Lambda,objective value,lower bound,total time,initial ban num,total ban num,total iter num
40,2,10,1.15,,4,3600,0,0,2
40,2,20,1.15,,4,3600,0,0,2
40,2,30,1.15,,4,3600,0,0,2
40,2,40,1.15,4,4,53.644,0,0,2
40,2,50,1.15,,4,3600,0,0,2
40,2,60,1.15,4,4,14.766,0,0,2
40,2,70,1.15,4,4,350.372,0,0,5
40,2,80,1.15,4,4,0.217,0,0,1
40,2,90,1.15,,4,3600,0,0,2
40,2,100,1.15,5,4,3600,0,0,3
40,3,10,1.15,3,3,0.168,0,0,1
40,3,20,1.15,,3,3600,0,0,2
40,3,30,1.15,3,3,0.164,0,0,1
40,3,40,1.15,3,3,1.337,0,0,2
40,3,50,1.15,3,3,0.108,0,0,1
40,3,60,1.15,3,3,0.299,0,0,2
40,3,70,1.15,3,3,0.872,0,0,2
40,3,80,1.15,3,3,180.816,0,0,2
40,3,90,1.15,3,3,180.782,0,0,2
40,3,100,1.15,3,3,0.117,0,0,1
40,4,10,1.15,2,2,0.125,0,1,1
40,4,20,1.15,2,2,0.087,0,0,1
40,4,30,1.15,2,2,0.249,0,1,2
40,4,40,1.15,2,2,0.106,0,0,1
40,4,50,1.15,2,2,10.241,0,2,4
40,4,60,1.15,2,2,0.09,0,0,1
40,4,70,1.15,2,2,0.106,0,1,1
40,4,80,1.15,2,2,0.168,0,2,1
40,4,90,1.15,2,2,3.735,0,2,5
40,4,100,1.15,2,2,0.086,0,0,1
40,5,10,1.15,2,2,0.133,0,0,1
40,5,20,1.15,1,1,5.491,0,2,2
40,5,30,1.15,2,2,0.173,0,0,1
40,5,40,1.15,1,1,0.072,0,0,1
40,5,50,1.15,2,2,0.698,0,2,2
40,5,60,1.15,1,1,0.172,0,1,1
40,5,70,1.15,1,1,0.089,0,1,1
40,5,80,1.15,2,2,0.303,0,4,1
40,5,90,1.15,2,2,0.764,0,1,2
40,5,100,1.15,1,1,0.074,0,0,1
50,2,10,1.15,5,5,0.901,0,0,1
50,2,20,1.15,,5,3600,0,0,2
50,2,30,1.15,5,5,0.65,0,0,1
50,2,40,1.15,,5,3600,0,0,2
50,2,50,1.15,,5,3600,0,0,2
50,2,60,1.15,6,5,3600,0,0,4
50,2,70,1.15,,5,3600,0,0,2
50,2,80,1.15,6,5,3600,0,0,4
50,2,90,1.15,,5,3600,0,0,2
50,2,100,1.15,5,5,1.55,0,0,1
50,3,10,1.15,5,4,3600,0,0,5
50,3,20,1.15,,4,3600,0,0,2
50,3,30,1.15,4,4,0.395,0,0,1
50,3,40,1.15,4,4,547.333,0,1,7
50,3,50,1.15,4,4,187.322,0,0,4
50,3,60,1.15,4,4,0.372,0,0,1
50,3,70,1.15,4,4,0.276,0,0,1
50,3,80,1.15,,4,3600,0,0,2
50,3,90,1.15,,4,3600,0,0,3
50,3,100,1.15,,4,3600,0,0,2
50,4,10,1.15,3,3,0.203,0,0,1
50,4,20,1.15,3,3,0.235,0,1,1
50,4,30,1.15,3,3,0.135,0,0,1
50,4,40,1.15,3,3,0.174,0,0,1
50,4,50,1.15,3,3,12.913,0,3,2
50,4,60,1.15,3,3,0.168,0,1,1
50,4,70,1.15,3,3,0.154,0,0,1
50,4,80,1.15,3,3,0.156,0,0,1
50,4,90,1.15,3,3,0.141,0,0,1
50,4,100,1.15,3,3,0.138,0,0,1
50,5,10,1.15,2,2,8.823,0,2,2
50,5,20,1.15,2,2,11.08,0,2,3
50,5,30,1.15,2,2,0.145,0,0,1
50,5,40,1.15,2,2,7.967,0,5,3
50,5,50,1.15,2,2,3.701,0,2,2
50,5,60,1.15,2,2,2.717,0,2,3
50,5,70,1.15,2,2,0.119,0,0,1
50,5,80,1.15,2,2,4.46,0,1,2
50,5,90,1.15,3,3,146.766,0,5,5
50,5,100,1.15,3,3,13.638,0,8,5
70,2,10,1.15,,7,3600,0,0,2
70,2,20,1.15,,7,3600,0,0,2
